entry_id	volume	entrytype	majortype	form_lemma	sense_text
id_00005	1	Toponym	natural_feature	ABBOTS	Río pequeño de la Carolina Septentrional , corre al SO y entra en el de Pedi , a poca distancia del nacimiento de éste en el territorio de los límites del Lord Granvile.
id_00006	1	Toponym	settlement	ABACACHIS	Pueblo de Indios de esta nación, en la Provincia y País de las Amazonas , y parte o territorio que poseen los Portugueses. Es reducción de los Religiosos Carmelitas de esta nación, situado a orilla de una laguna del mismo nombre: entre ella y un río, que también tiene esta denominación, y es un brazo caudaloso del de la Madera , que atraviesa este territorio y vuelve luego a entrar en el mismo de donde salió, formando la Isla de Topinambes .
id_00007	1	Referral	Referral	ABACOA	Véase el artículo Providencia.
id_00008	1	Toponym	settlement	ABACQUA	Pueblo de la Provincia y Gobierno de Buenos Ayres , situado a orilla del Río Paraná , cerca de su entrada en el del Paraguay al E de la Ciudad de Corrientes .
id_00009	1	Toponym	natural_feature	ABACU	punta de tierra de la costa del S de la Isla de Santo Domingo .
id_00010	1	Toponym	settlement	ABADES	Pueblo de la Provincia y Gobierno de Popayán , en el distrito y jurisdicción de San Juan de Pasto .
id_00011	1	Toponym	territory	ABANCAY	Provincia y Corregimiento del Perú, confina por el E con la gran Ciudad del Cuzco , empezando su jurisdicción por la Parroquia de Santa Ana de aquella Ciudad, por el O con la Provincia de Andahuailas : por el N con la de Calcaylares , formando por esta parte una dilatada cadena de montañas nevadas: por el S con las de Cotabamba y Aimaraez : por el SO con la de Chilques y Masques . Su extensión es de 26 leguas E O y 14 de ancho. El Río de más consideración que tiene es el de Apurimac , que se separa de ella al NO, penetrando, unido a otros, las Montañas de los Andes . Se pasa por un puente de madera de 80 baras de largo y 3 de ancho, y es camino real de Lima al Cuzco , y otras Provincias de la Sierra. Paga en él 4 rs. de plata cada carga de efectos de la tierra, y 12 la de los de Europa . El temperamento de esta Provincia es templado en casi toda ella y muy sano, a excepción de uno ú otro Valle, en que por el excesivo calor y humedad, se padecen tercianas. Produce mucho trigo, maíz y demás semillas en abundancia, y se cría en ella, no poco ganado vacuno; pero su principal fruto es el azúcar que labran tan blanca, que puede competir con la mejor de Europa , y se lleva a vender al Cuzco y otras Provincias con estimación. Tambien produce alguna ropa de la tierra, no faltando en sus territorios y minas de plata, especialmente en el cerro que llaman Jalcanta : pero no se trabajan por la poca afición que sus naturales tienen a esta labor. Su jurisdicción tiene 17 Pueblos, y tenía asignados de repartimiento a su Corregimiento 108750 pesos fuertes, pagando 870 de Alcabala cada año.
id_00012	1	Toponym	settlement		La Capital de esta Provincia es el Pueblo del mismo nombre, fundado en un espacioso valle que le da denominación; como también a un río, que tiene uno de los mejores puentes que hay en todo el Reyno, y el primero que se construyó en él con todo el primor del arte. Allí se dividen las jurisdiciones de esta Provincia de la de Andahuailas . Es memorable por dos batallas que ganaron cerca de él las tropas del Rey contra Gonzalo Pizarro los años de 1542 y 1548. Tiene un Convento de Religiosos de Sto. Domingo, de los primeros que se fundaron en el Perú ; dista 20 leguas de la Ciudad del Cuzco .
id_00013	1	Toponym	settlement		Tiene el mismo nombre otro Pueblo de la Provincia y Corregimiento de Cuenca , en el Reyno de Quito situado a la orilla del río Paute .
id_00014	1	Toponym	human_group	ABANES	Nación de Indios bárbaros del nuevo Reyno de Granada , en los llanos de San Juan al N del Oricono ; habitan en los bosques que hay a orilla de este río y de otros pequeños, confinando a levante con los Salivas, y al poniente con los Caberres y Andaquíes: son dóciles, de buen natural, y no repugnan reducirse a la fe católica.
id_00015	1	Toponym	settlement		Pueblo grande de la Provincia y Gobierno del Paraguay : es de Indios de la nación Guaraní, situado a orilla del río Taquani . Lo descubrió Alvar Nuñez Cabeza de Vaca, el año de 1541.
id_00016	1	Toponym	natural_feature	ABARANQUEN	Río pequeño de la Provincia y Gobierno de Guayana o Nueva Andalucía: nace en el País de los Indios Quiriquipas: corre del S al N y entra en el de Aruy .
id_00017	1	Toponym	settlement	ABECOCHI	Pueblo de Indios de la Carolina Meridional , situado a orilla del río Cousa : en él tienen los Ingleses un establecimiento con un fuerte para su defensa.
id_00018	1	Toponym	human_group	ABEICAS	Nación de Indios de la Nueva Francia , confinante por el N con la de los Alibamones, y por el E con la de los Cheraquis: vive distante de los ríos grandes; y su terreno solo produce unas cañas, que no son de más grueso que el de un dedo, pero tan duras que quando se rompen cortan lo mismo que un cuchillo. Estos Indios hablan la lengua Tchicacha, y están aliados con las demás naciones contra los Iroqueses.
id_00019	1	Toponym	settlement	ABERCORN	Pueblo de la Provincia y Colonia de Nueva Georgia , situado a orilla del río Savannach , cerca de su salida al mar, y una legua distante de la Ciudad de este nombre.
id_00020	1	Toponym	natural_feature	ABIDE	o Serranía de la Provincia y Gobierno de Cartagena . Corren ONE desde cerca del río grande de la Magdalena , hasta la Provincia y Gobierno del Chocó , y Mar del S cuyos términos o extensión no están conocidos: tienen 20 leguas de ancho, y las descubrió el Capitán Francisco César el año de 1536; siendo el primero que penetró su espesura, en que gastó casi 10 meses, padeciendo increíbles hambres y trabajos; y muchos más el Licenciado Badillo, que entró a su conquista con un lucido exército.
id_00021	1	Toponym	settlement	ABIGIRAS	Pueblo de Indios de esta nación, uno de las misiones o reducción, que tenían los Regulares de la extinguida Compañía, en la Provincia y Gobierno de Mainas , del Reyno de Quito , fundado el año de 1665 por el Padre Lorenzo Lucero, a orilla del río Curaran , 30 leguas de su boca y 240 de Quito .
id_00022	1	Toponym	settlement	ABIPI	Pueblo pequeño de la jurisdicción de Muzo y Corregimiento de Tunxa en el Nuevo Reyno de Granada ; es de temperamento cálido; produce algún trigo, maíz, yucas, plátanos y cañas: ha sido celebre por sus ricas minas de esmeraldas, que hoy están abandonadas por falta de agua: dista casi 3 leguas de la mina grande de Itocó .
id_00023	1	Toponym	human_group	ABIPONES	Nación de Indios bárbaros de la Provincia y Gobierno del Tucumán . Está a orillas y al S del río Bermejo . Fué antiguamente muy numerosa, pues aseguran que pasaban de cien mil; pero hoy están muy reducidos; andan desnudos, aunque las mugeres se cubren con pellejos bien aderezados, que llaman Queyapi. Son grandes nadadores, de alta y fornida estatura, y bien agestados; pero se labran la cara y el cuerpo, y son muy inclinados a la guerra, que mueven ordinariamente sobre si entran otros a pescar o cazar en sus límites, los quales tienen amojonados con largos horcones en que ponen las cabezas de los enemigos que matan: desde niños se curten y sajan el cuerpo para hacerse robustos: quando se inunda su País, que es en los cinco meses de Invierno, se retiran a vivir en las Islas y sobre los árboles: suelen sembrar algo; pero viven de la caza y de la pesca, apreciando sobre todo la carne de los Tigres, que reparten como reliquia entre sus parientes, porque dicen que les infunde bríos y valor. No tienen conocimiento de Dios, Leyes, ni Policía; pero creen la inmortalidad del alma, y que hay una tierra de sumo deleyte, donde baylan y se divierten quando mueren. La viuda en este caso guarda celibato, y por un año ayuna, que es abstenerse de comer pescado. Cumplido el tiempo salen al campo a decir que ya viene su marido a darlas licencia para que se casen. Las mugeres se ocupan en hilar y coser las pieles; los hombres son holgazanes, y los muchachos corren todo el día para exercitar las fuerzas. Son muy dados a la embriaguez, en cuyo tiempo las mugeres les esconden las armas para que no se maten. No crían más que dos o tres hijos, y matan los demás.
id_00024	1	Toponym	territory	ABISCA	Provincia dilatada del Reyno del Perú , al Levante de la Cordillera de los Andes , entre los ríos Yetau y Amarumayo , y al Mediodia del Cuzco . Es poco conocida por ser toda de bosques, ríos y lagunas , donde se han retirado muchas Naciones bárbaras de Indios que habitan en las pocas llanuras que tiene. El Emperador Yupanqui entró en ella para sujetarla a su Imperio, pero no lo pudo conseguir, ni tuvo mejor suceso Pedro de Candia que intentó lo mismo el año de 1538.
id_00025	1	Toponym	natural_feature		parte de la Isla de la Guadalupe en que se divide la que mira al NE. Tiene este nombre por unas entradas que hace el mar llamadas así, y sirven de abrigo a las embarcaciones en caso de invasión de enemigos, o de uracanes. Allí están con toda seguridad y buen fondo amarradas a fuertes arboles de Palmas que abundan, y sin necesidad de echar ancla por el riesgo de perderla entre las espesas raices que tienen. Hay delante una Isleta llamada de Cochons , o de los cochinos, donde proyectó hacer un Fuerte el Caballero Renau, Ingeniero, el año de 1700 para construir un buen Puerto; más no llegó a verificarse.
id_00026	1	Toponym	natural_feature	ABITANIS	Monte de la Provincia y Corregimiento de Lipes , en el Perú ; significa en lengua Quechua mineral de oro, por una célebre mina de este metal, que hoy está casi abandonada por falta de gente. Hállase inmediato al Pueblo de Colcha .
id_00027	1	Toponym	natural_feature	ABITIBIS	Lago del País de Hudson , en el territorio de los Indios de este nombre.
id_00028	1	Toponym	human_group	ABITICAS	Nación de Indios bárbaros de la Provincia y Corregimiento de Tarma en el Perú . Es muy numerosa y guerrera y vive vagante por las selvas; y está 60 leguas a Levante de la Montaña de los Andes . Confina por Poniente con los Indios Ipilcos.
id_00029	1	Toponym	natural_feature	ABORROEN	Puerto de la Costa del Brasil , en la Provincia y Capitanía de Seara , entre el río de Escorgogive , y la Bahía de Inobú .
id_00030	1	Toponym	natural_feature	ABRA	Isla del Estrecho de Magallanes , a la entrada de la tercera y última angostura, llamada del Pasage .
id_00031	1	Toponym	natural_feature	ABREOLHOS	en la Costa del Brasil , y Provincia y Capitanía del Espíritu Santo , entre los ríos de Percipe y Quororupa . Son unos escollos o bancos de arena muy peligrosos; y aunque tienen varios canales para su navegación, es preciso mucho cuidado para no naufragar, como ha sucedido a infinitas embarcaciones. Distan más de 20 leguas del continente, y se extienden más de cinco a levante de la Isla del fuego : su situación, tomada en el centro, es en 18 grados 12 minutos de lat. aust.
id_00032	1	Toponym	natural_feature	ABROJOS	Baxo o Peñasco de la mar del N en la costa de California , inmediato a ella.
id_00033	1	Referral	Referral		Tiene el mismo nombre otro Baxo de la mar del N . Véase el artículo Pañuelo quadrado.
id_00034	1	Toponym	settlement	ABUCARA	Pueblo de la Provincia y Corregimiento de Lucanas en el Perú , fundado en un valle del mismo nombre. Fué antiguamente Capital de ella, y tenía esta denominación. Hoy es un Pueblo muy reducido después que el Corregidor pasó a establecerse en Lucanas .
id_00035	1	Toponym	settlement	ABUCEES	Pueblo de las Misiones de Indios Sucumbios, que fundaron y tenían a su cargo los extinguidos Regulares de la Compañía, en la Provincia y Gobierno de Quixos y Macas del Reyno de Quito ; situado a orilla de un río pequeño, que entra en el Putumayo .
id_00036	1	Toponym	settlement	ABURRA	Villa de la Provincia y Gobierno de Antioquia , en el Nuevo Reyno de Granada , fundada el año de 1542 por el Mariscal Jorge Robledo, en un fértil y dilatado valle del mismo nombre, que descubrió el de 1540 el Capitán Gerónimo Luis Texelo. Abunda en toda especie de frutas, semillas y legumbres: es de temperamento cálido. En su distrito se encuentran muchas huacas o sepulturas de los Indios en que se han hallado grandes riquezas. Hoy ha venido a tanta decadencia, que es un Pueblo miserable. En sus inmediaciones hay algunos manantiales de agua salada, de que sacan sal los Indios para su uso.
