id	title	title_source	title_uri	ccodes	fclasses	types	lat	lon	geowkt	start	end	links	description	approximation
id_00005	Abbots			US	H	Rio	35.225300	-77.508100		1786	1789		Río pequeño de la Carolina Septentrional , corre al SO y entra en el de Pedi , a poca distancia del nacimiento de éste en el territorio de los límites del Lord Granvile.	geo:sfWithin
id_00006	Abacachis			BR	P	Pueblo de Indios	-3.147400	-58.446100		1786	1789		Pueblo de Indios de esta nación, en la Provincia y País de las Amazonas , y parte o territorio que poseen los Portugueses. Es reducción de los Religiosos Carmelitas de esta nación, situado a orilla de una laguna del mismo nombre: entre ella y un río, que también tiene esta denominación, y es un brazo caudaloso del de la Madera , que atraviesa este territorio y vuelve luego a entrar en el mismo de donde salió, formando la Isla de Topinambes .	crm:P189_approximates
id_00008	Abacqua			AR	P	Pueblo	-27.322100	-58.535600		1786	1789		Pueblo de la Provincia y Gobierno de Buenos Ayres , situado a orilla del Río Paraná , cerca de su entrada en el del Paraguay al E de la Ciudad de Corrientes .	crm:P189_approximates
id_00009	Abacu			DO	T	Punta	19.067100	-70.585700		1786	1789		punta de tierra de la costa del S de la Isla de Santo Domingo .	geo:sfWithin
id_00010	Abades			CO	P	Pueblo	2.291900	-76.827200		1786	1789		Pueblo de la Provincia y Gobierno de Popayán , en el distrito y jurisdicción de San Juan de Pasto .	crm:P189_approximates
id_00011	Abancay			PE	A	Provincia	-13.535100	-72.558600		1786	1789	indias:JUPECUAB	Provincia y Corregimiento del Perú, confina por el E con la gran Ciudad del Cuzco , empezando su jurisdicción por la Parroquia de Santa Ana de aquella Ciudad, por el O con la Provincia de Andahuailas : por el N con la de Calcaylares , formando por esta parte una dilatada cadena de montañas nevadas: por el S con las de Cotabamba y Aimaraez : por el SO con la de Chilques y Masques . Su extensión es de 26 leguas E O y 14 de ancho....	crm:P189_approximates
id_00012	Abancay			PE	P	Pueblo	-13.633300	-72.883300		1786	1789	indias:6000158	La Capital de esta Provincia es el Pueblo del mismo nombre, fundado en un espacioso valle que le da denominación; como también a un río, que tiene uno de los mejores puentes que hay en todo el Reyno, y el primero que se construyó en él con todo el primor del arte. Allí se dividen las jurisdiciones de esta Provincia de la de Andahuailas . Es memorable por dos batallas que ganaron cerca de él las tropas del Rey contra Gonzalo Pizarro los años de 1542 y 1548. Tiene un Convento de Religiosos de Sto....	
id_00013	Abancay			EC	P	Pueblo	-2.823700	-78.887600		1786	1789	indias:5600401	Tiene el mismo nombre otro Pueblo de la Provincia y Corregimiento de Cuenca , en el Reyno de Quito situado a la orilla del río Paute .	
id_00014	Abanes			CO	L	Nación	7.000000	-73.500000		1786	1789		Nación de Indios bárbaros del nuevo Reyno de Granada , en los llanos de San Juan al N del Oricono ; habitan en los bosques que hay a orilla de este río y de otros pequeños, confinando a levante con los Salivas, y al poniente con los Caberres y Andaquíes: son dóciles, de buen natural, y no repugnan reducirse a la fe católica.	geo:sfWithin
id_00015	Abangoui			AR	P	Pueblo	-29.337700	-59.291000		1786	1789		Pueblo grande de la Provincia y Gobierno del Paraguay : es de Indios de la nación Guaraní, situado a orilla del río Taquani . Lo descubrió Alvar Nuñez Cabeza de Vaca, el año de 1541.	crm:P189_approximates
id_00016	Abaranquen			VE	H	Rio	5.235000	-61.063400		1786	1789		Río pequeño de la Provincia y Gobierno de Guayana o Nueva Andalucía: nace en el País de los Indios Quiriquipas: corre del S al N y entra en el de Aruy .	geo:sfWithin
id_00017	Abecochi			US	P	Pueblo de Indios	33.048200	-79.977200		1786	1789		Pueblo de Indios de la Carolina Meridional , situado a orilla del río Cousa : en él tienen los Ingleses un establecimiento con un fuerte para su defensa.	geo:sfWithin
id_00018	Abeicas			US	L	Nación	33.995700	-85.743300		1786	1789		Nación de Indios de la Nueva Francia , confinante por el N con la de los Alibamones, y por el E con la de los Cheraquis: vive distante de los ríos grandes; y su terreno solo produce unas cañas, que no son de más grueso que el de un dedo, pero tan duras que quando se rompen cortan lo mismo que un cuchillo. Estos Indios hablan la lengua Tchicacha, y están aliados con las demás naciones contra los Iroqueses.	crm:P189_approximates
id_00019	Abercorn			US	P	Pueblo	31.974800	-81.189200		1786	1789		Pueblo de la Provincia y Colonia de Nueva Georgia , situado a orilla del río Savannach , cerca de su salida al mar, y una legua distante de la Ciudad de este nombre.	geo:sfWithin
id_00020	Montañas de Abide			CO	T	Montañas	10.351800	-75.337800		1786	1789		o Serranía de la Provincia y Gobierno de Cartagena . Corren ONE desde cerca del río grande de la Magdalena , hasta la Provincia y Gobierno del Chocó , y Mar del S cuyos términos o extensión no están conocidos: tienen 20 leguas de ancho, y las descubrió el Capitán Francisco César el año de 1536; siendo el primero que penetró su espesura, en que gastó casi 10 meses, padeciendo increíbles hambres y trabajos; y muchos más el Licenciado Badillo, que entró a su conquista con un lucido exército.	geo:sfWithin
id_00021	Abigiras			PE	P	Pueblo de Indios	-2.090300	-74.842200		1786	1789	indias:5600774	Pueblo de Indios de esta nación, uno de las misiones o reducción, que tenían los Regulares de la extinguida Compañía, en la Provincia y Gobierno de Mainas , del Reyno de Quito , fundado el año de 1665 por el Padre Lorenzo Lucero, a orilla del río Curaran , 30 leguas de su boca y 240 de Quito .	geo:sfWithin
id_00022	Abipi			CO	P	Pueblo	5.510700	-74.061900		1786	1789	indias:5000484	Pueblo pequeño de la jurisdicción de Muzo y Corregimiento de Tunxa en el Nuevo Reyno de Granada ; es de temperamento cálido; produce algún trigo, maíz, yucas, plátanos y cañas: ha sido celebre por sus ricas minas de esmeraldas, que hoy están abandonadas por falta de agua: dista casi 3 leguas de la mina grande de Itocó .	geo:sfWithin
id_00023	Abipones			AR	L	Nación	-28.437100	-60.271800		1786	1789		Nación de Indios bárbaros de la Provincia y Gobierno del Tucumán . Está a orillas y al S del río Bermejo . Fué antiguamente muy numerosa, pues aseguran que pasaban de cien mil; pero hoy están muy reducidos; andan desnudos, aunque las mugeres se cubren con pellejos bien aderezados, que llaman Queyapi....	crm:P189_approximates
id_00024	Abisca			BO	A	Provincia	-17.607700	-67.069500		1786	1789		Provincia dilatada del Reyno del Perú , al Levante de la Cordillera de los Andes , entre los ríos Yetau y Amarumayo , y al Mediodia del Cuzco . Es poco conocida por ser toda de bosques, ríos y lagunas , donde se han retirado muchas Naciones bárbaras de Indios que habitan en las pocas llanuras que tiene. El Emperador Yupanqui entró en ella para sujetarla a su Imperio, pero no lo pudo conseguir, ni tuvo mejor suceso Pedro de Candia que intentó lo mismo el año de 1538.	geo:sfWithin
id_00025	Quartel des Abismes			FR	L	Parte	16.266600	-61.580900		1786	1789		parte de la Isla de la Guadalupe en que se divide la que mira al NE. Tiene este nombre por unas entradas que hace el mar llamadas así, y sirven de abrigo a las embarcaciones en caso de invasión de enemigos, o de uracanes. Allí están con toda seguridad y buen fondo amarradas a fuertes arboles de Palmas que abundan, y sin necesidad de echar ancla por el riesgo de perderla entre las espesas raices que tienen....	geo:sfWithin
id_00026	Abitanis			BO	T	Monte	-21.849200	-66.859900		1786	1789		Monte de la Provincia y Corregimiento de Lipes , en el Perú ; significa en lengua Quechua mineral de oro, por una célebre mina de este metal, que hoy está casi abandonada por falta de gente. Hállase inmediato al Pueblo de Colcha .	geo:sfWithin
id_00027	Aeitibis			CA	H	Lago	44.133300	-78.737100		1786	1789		Lago del País de Hudson , en el territorio de los Indios de este nombre.	geo:sfWithin
id_00028	Abitigas			PE	L	Nación	-10.807600	-76.057600		1786	1789		Nación de Indios bárbaros de la Provincia y Corregimiento de Tarma en el Perú . Es muy numerosa y guerrera y vive vagante por las selvas; y está 60 leguas a Levante de la Montaña de los Andes . Confina por Poniente con los Indios Ipilcos.	geo:sfWithin
id_00029	Aborigen			BR	P	Puerto	-5.012600	-39.761800		1786	1789		Puerto de la Costa del Brasil , en la Provincia y Capitanía de Seara , entre el río de Escorgogive , y la Bahía de Inobú .	geo:sfWithin
id_00030	Abra			AR	T	Isla	-38.679800	-67.807600		1786	1789		Isla del Estrecho de Magallanes , a la entrada de la tercera y última angostura, llamada del Pasage .	geo:sfWithin
id_00031	Abreolhos			BR	T	Punta	-19.672900	-40.692700		1786	1789		en la Costa del Brasil , y Provincia y Capitanía del Espíritu Santo , entre los ríos de Percipe y Quororupa . Son unos escollos o bancos de arena muy peligrosos; y aunque tienen varios canales para su navegación, es preciso mucho cuidado para no naufragar, como ha sucedido a infinitas embarcaciones. Distan más de 20 leguas del continente, y se extienden más de cinco a levante de la Isla del fuego : su situación, tomada en el centro, es en 18 grados 12 minutos de lat. aust.	geo:sfWithin
