id	title	title_source	title_uri	ccodes	fclasses	types	lat	lon	geowkt	start	end	links	description	approximation
id_09252	Luya			PE	P	Pueblo	-6.114100	-78.061800		1786	1789	indias:6001273	Tiene el mismo nombre el Pueblo Capital de la Provincia anterior, a cuyo Curato están anexos los habitantes de las haciendas que hay en los valles de Tambillo y Juscubamba , ambos de temperamento frío.	crm:P189_approximates
id_17042	Tuzcacuezco			MX	P	Pueblo Capital	19.696900	-103.982800		1786	1789	indias:1000071	Pueblo y Capital de la Alcaldía mayor de Amola o Amula en el mismo Reyno que el anterior, situado a la orilla de un río de su mismo nombre, tiene 32 familias de Indios y un Convento de Religiosos de San Francisco, está 150 leguas de México .	
id_10162	Mesquital			MX	P	Pueblo	23.474200	-104.395600		1786	1789	indias:1000036	Tiene el mismo nombre otro Pueblo de las Misio nes que tienen los Religiosos de San Francisco en el Reyno de la Nueva Vizcaya en la América Septentrional .	
id_16328	Santiago de Tilapan			MX	P	Barrio	18.804400	-97.099200		1786	1789	indias:1004212	Pueblo pequeño o barrio del distrito de Ixtazoquitlan y Alcaldía mayor de Orizava en Nueva España , tiene 120 familias de Indios.	
id_18211	Zapotlan			MX	P	Pueblo	19.830100	-98.962200		1786	1789		Otro Pueblo hay de este nombre en la jurisdicción y Alcaldía mayor de Pachuca del mismo Reyno, anexo al Curato del de Tezayuca ; solo tiene 14 familias de Indios.	crm:P189_approximates
id_00632	Ana			CO	P	Pueblo	5.119000	-74.952900		1786	1789	indias:5000227	Pueblo del Gobierno de Mariquita , en el Nuevo Reyno de Granada , tiene más de 200 vecinos, es de temperamento cálido, pero muy sano y abundante de frutos, aunque con la pensión de producir sus aguas cotos en la garganta, cuya epidemia padecen casi todos sus vecinos: ha sido muy rico por las excelentes minas de plata que tiene de que han sacado infinita riqueza; pero hoy están casi abandonadas.	crm:P189_approximates
id_11605	Otoca			PE	P	Pueblo	-14.489200	-74.686200		1786	1789	indias:6000503	Pueblo de la Provincia y Corregimiento de Lucanas en el Perú .	
id_00658	Santa Ana			MX	P	Pueblo	21.047500	-101.270800		1786	1789	indias:1000680	Otro que es Real de Minas de la la de Alcaldía mayor de Guanajuato , en el mismo Reyno y Provincia y Obispado de Mechoacán .	crm:P189_approximates
id_14420	Sacatepec			MX	P	Pueblo	17.158900	-95.913300		1786	1789	indias:1003035	Otro Pueblo hay de este nombre en la Cabecera de Atitlan y Alcaldía mayor de Villalta en el mismo Reyno, tiene 115 familias de Indios, y está 15 leguas de su Capital.	
id_00107a	Achoma			PE	P	Pueblo	-15.662000	-71.699500		1786	1789	indias:6000071	Pueblo de la Provincia y Corregimiento de Collahuas , en el Perú . En su inmediación hay un volcán llamado Ambato y Sahuarcuca , que arroja humo y llamas; estas se ven claramente por las noches.	
id_11593	Otaualo			EC	P	Villa Capital	0.228400	-78.263000		1786	1789	indias:5600009	Y la Capital que es la Villa y asiento del mismo nombre Población rande, hermosa y de agradable situación, de temperamento frío, muy abundante en ganados de que abastece a los demás Pueblos; sus naturales son más inclinados a las fábricas de tegidos de algodón en los muchos obrages que les producen gran lucro, que al cultivo de los campos; tiene dos Parroquias y un buen Convento de Religiosos de San Francisco, tiene 18 a 20000 almas de vecindario y está en 13 min. 19 seg. de lat. aust.	
id_14391	Sabirosqui			PE	P	Pueblo	-10.723800	-75.339400		1786	1789	indias:6001564	Pueblo de la Provincia y Corregimiento de Caxamarquilla en el Perú .	crm:P189_approximates
id_03343	Chalchitlan			GT	P	Pueblo	15.342700	-91.312200		1786	1789	indias:2000357	Pueblo de la Alcaldía mayor de Capanabastla en el Reyno de Guatemala .	
id_09274	Macarabita			CO	P	Pueblo	6.506100	-72.592500		1786	1789	indias:5000519	Pueblo de la Provincia y Corregimiento de Tunja en el Nuevo Reyno de Granada , es de temperamento cálido, produce cañas dulces, plátanos y otros muchos frutos, cría con abundancia mulas y ganado cabria, de cuyas pieles fabrican muy buenos cordobanes; sin embargo sus naturales son bien pobres, casi todos abobados, y sujetos a padecer la epidemia de cotos o tumores en la garganta, serán 300 los vecinos, y está 32 leguas al N de Tunja .	
id_14411	Sacadas			AR	P	Pueblo	-34.772000	-59.676000		1786	1789		Pueblo de la Provincia y Gobierno de Buenos Ayres , situado al S de la Villa de Lujan .	crm:P189_approximates
id_00086	Acayuca			MX	A	Alcaldía mayor	17.759200	-94.247400		1786	1789	indias:JUNEVCCZ	Alcaldía mayor de Nueva España, y de la Provincia de Goazacoalco : es de dilatada jurisdicción, y por la mayor parte de temperamento cálido y húmedo; pero tan fértil que da anualmente quatro cosechas de maíz; y como no tiene salida en las demás jurisdicciones, de ahí proviene que los Indios sean poco aplicados al trabajo; pues solo con arrasar los montes, y horadar la tierra a punta de estaca hacen sus siembras, sin gastar arado ni otro equivalente....	crm:P189_approximates
id_12262	Paraguayes			AR	P	Pueblo	-37.825500	-62.390000		1786	1789		Pueblo de la Provincia y Gobierno de Buenos Ayres , situado cerca del río Hueque-Leuvu , a su inmediación por la parte del Sur tiene dos lagunas muy grandes abundantes de salinas.	crm:P189_approximates
id_00567	San Luis Amatlan			MX	P	Pueblo	16.388900	-96.496100		1786	1789	indias:1002498	Otro hay del mismo nombre con la advocación de San Luis, de la Cabecera de Partido y Alcaldía mayor de Miahualtan , en el mismo Reyno. Tiene 380 familias de Indios, inclusos los de sus Barrios; y así en estos como en él se coge una frutilla, como avellanas pequeñas, que llaman Coatecos o Tepexilotes, de mucha consistencia, de los quales tornean cuentas y hacen Rosarios engebados y pintados con diversas cifras de Jesús, María y Joseph o motes del Magníficat, tan permanentes, que muchos han creido...	
id_05130	Cusi			PE	P	Pueblo	-12.563100	-75.908100		1786	1789	indias:6000922	Pueblo de la Provincia y Corregimiento de Yauyos en el Perú , anexo al Curato de Pampas .	
id_14684	Santiago			MX	P	Pueblo	18.993300	-97.930800		1786	1789	indias:1003531	Otro de la Cabecera y Alcaldía mayor de Tepeaca en el mismo Reyno, distante 5 leguas de su Capital.	
id_05095	San Francisco de los Curiquaxes			EC	P	Pueblo	0.183700	-75.918800		1786	1789	indias:5600828	Pueblo de la Provincia y Gobierno de Quixos y Macas en el Reyno de Quito : pertenece al primer partido, y es uno de los que componen las reducciones de Indios Sucumbios que tenían a su cargo los Regulares de la Compañía.	crm:P189_approximates
id_09962a	San Mateo			MX	P	Pueblo	20.178900	-97.578600		1786	1789	indias:1004234	Otro de la Cabezera de Zozocolco y Alcaldía mayor de Papantla en el mismo Reyno; tiene 183 familias de Indios, y está 2 leguas de su Cabezera.	
id_01859	Belille			PE	P	Pueblo	-14.508900	-71.885300		1786	1789	indias:6000246	Pueblo de la Provincia y Corregimiento de Chumbivilcas , en el Perú , situado a orilla del río Apurimac .	
id_01940	Betaza			MX	P	Pueblo Cabecera	17.249400	-96.151400		1786	1789	indias:1002940	Pueblo y Cabecera de la Alcaldía ma yor de Villalta , en Nueva España , es de temperamento cálido, y tiene 265 familias de Indios: está 4 leguas al S de su Capital: a distancia de 3 leguas hay otro Pueblo en que habitan 122 familias que se exercitan en el cultivo del maíz.	
