featuretype,count,fclass,fclass_label,status
Pueblo,7628,P,Populated place,include
Rio,3561,H,Water body,include
Isla,752,T,Terrestrial landform,include
Ciudad,601,P,Populated place,include
Nación,492,L,Landscape / region,include
,406,,,include
Pueblo Cabecera,378,P,Populated place,include
Provincia,343,A,Administrative,include
Punta,329,T,Terrestrial landform,include
Puerto,320,P,Populated place,include
Bahía,278,H,Water body,include
Pueblo de Indios,271,P,Populated place,include
Villa,262,P,Populated place,include
-,250,,,include
Laguna,218,H,Water body,include
Cabo,196,T,Terrestrial landform,include
Monte,170,T,Terrestrial landform,include
Animal,156,,,include
Botany,150,,,include
Islas,120,T,Terrestrial landform,include
Condado,118,A,Administrative,include
Fuerte,115,S,Site / structure,include
Ensenada,108,H,Water body,include
Valle,103,T,Terrestrial landform,include
Barrio,80,P,Populated place,include
Jurisdicción,66,A,Administrative,include
Nutriment,66,,,include
Lago,65,H,Water body,include
Pueblo Real de Minas,64,P,Populated place,include
Pueblo Parroquia,61,P,Populated place,include
Islote,61,T,Terrestrial landform,include
Capital,53,P,Populated place,include
Baxo,51,H,Water body,include
Islotes,48,T,Terrestrial landform,include
Partido,45,A,Administrative,include
Montañas,44,T,Terrestrial landform,include
Social,43,,,include
Pharmacy,39,,,include
Pueblo Asiento de Minas,38,P,Populated place,include
Produce,37,,,include
Alcaldía mayor,36,A,Administrative,include
Brazo,36,H,Water body,include
placename,35,,,include
Punta de tierra,31,T,Terrestrial landform,include
Isleta,30,T,Terrestrial landform,include
Textiles,29,,,include
Pueblo Capital,28,P,Populated place,include
Extremidad,28,T,Terrestrial landform,include
Llanura,28,T,Terrestrial landform,include
Cerro,27,T,Terrestrial landform,include
Estrecho,26,H,Water body,include
Cordillera,25,T,Terrestrial landform,include
Sierra,23,T,Terrestrial landform,include
Montaña,22,T,Terrestrial landform,include
Volcán,20,T,Terrestrial landform,include
País,20,A,Administrative,include
Pueblo Presidio,19,P,Populated place,include
Aldea,19,P,Populated place,include
Baxos,19,H,Water body,include
Canal,19,H,Water body,include
Banco,18,H,Water body,include
Fortaleza,17,S,Site / structure,include
Lagunas,16,H,Water body,include
Reyno,16,A,Administrative,include
Construction,16,,,include
Mineralogy,15,,,include
Montes,14,T,Terrestrial landform,include
Golfo,14,H,Water body,include
